County,State,2010 Census,Population Estimate 2017
Des Moines County, Iowa,40325,39417
Dickinson County, Iowa,16667,17199
Dubuque County, Iowa,93653,97041
Emmet County, Iowa,10302,9432
Fayette County, Iowa,20880,19796
Floyd County, Iowa,16303,15744
Franklin County, Iowa,10680,10164
Fremont County, Iowa,7441,6948
Greene County, Iowa,9336,8981
Grundy County, Iowa,12453,12333
Guthrie County, Iowa,10954,10670
Hamilton County, Iowa,15673,15115
Hancock County, Iowa,11341,10771
Hardin County, Iowa,17534,17048
Harrison County, Iowa,14928,14136
Henry County, Iowa,20145,19863
Howard County, Iowa,9566,9228
Humboldt County, Iowa,9815,9564
Ida County, Iowa,7089,6865
Iowa County, Iowa,16355,16103
Jackson County, Iowa,19848,19366
Jasper County, Iowa,36842,36966
Jefferson County, Iowa,16843,18422
Johnson County, Iowa,130882,149210
Jones County, Iowa,20638,20536
Keokuk County, Iowa,10511,10153
Kossuth County, Iowa,15543,14999
Lee County, Iowa,35862,34295
Linn County, Iowa,211226,224115
Louisa County, Iowa,11387,11184
Lucas County, Iowa,8898,8534
Lyon County, Iowa,11581,11792
Madison County, Iowa,15679,16013
Mahaska County, Iowa,22381,22235
Marion County, Iowa,33309,33105
Marshall County, Iowa,40648,40288
Mills County, Iowa,15059,15068
Mitchell County, Iowa,10776,10631
Monona County, Iowa,9243,8740
Monroe County, Iowa,7970,7845
Montgomery County, Iowa,10740,10137
Muscatine County, Iowa,42745,42880
O'Brien County, Iowa,14398,13801
Osceola County, Iowa,6462,6045
Page County, Iowa,15932,15224
Palo Alto County, Iowa,9421,9092
Plymouth County, Iowa,24986,25220
Pocahontas County, Iowa,7310,6846
Polk County, Iowa,430640,481830
Pottawattamie County, Iowa,93158,93386
Poweshiek County, Iowa,18914,18314
Ringgold County, Iowa,5131,5034
Sac County, Iowa,10350,9817
Scott County, Iowa,165224,172509
Shelby County, Iowa,12167,11628
Sioux County, Iowa,33704,34860
Story County, Iowa,89542,97502
Tama County, Iowa,17767,17058
Taylor County, Iowa,6317,6178
Union County, Iowa,12534,12450
Van Buren County, Iowa,7570,7157
Wapello County, Iowa,35625,35044
Warren County, Iowa,46225,50163
Washington County, Iowa,21704,22281
Wayne County, Iowa,6403,6476
Webster County, Iowa,38013,36605
Winnebago County, Iowa,10866,10587
Winneshiek County, Iowa,21056,20201
Woodbury County, Iowa,102172,102429
Worth County, Iowa,7598,7469
Wright County, Iowa,13229,12784
Allen County, Kansas,13371,12519
Anderson County, Kansas,8102,7833
Atchison County, Kansas,16924,16332
Barber County, Kansas,4861,4586
Barton County, Kansas,27674,26476
Bourbon County, Kansas,15173,14754
Brown County, Kansas,9984,9641
Butler County, Kansas,65880,66878
Chase County, Kansas,2790,2683
Chautauqua County, Kansas,3669,3363
Cherokee County, Kansas,21603,20115
Cheyenne County, Kansas,2726,2683
Clark County, Kansas,2215,2004
Clay County, Kansas,8535,7958
Cloud County, Kansas,9533,8991
Coffey County, Kansas,8601,8224
Comanche County, Kansas,1891,1790
Cowley County, Kansas,36311,35361
Crawford County, Kansas,39134,39034
Decatur County, Kansas,2961,2885
Dickinson County, Kansas,19754,18902
Doniphan County, Kansas,7945,7727
Douglas County, Kansas,110826,120793
Edwards County, Kansas,3037,2893
Elk County, Kansas,2882,2498
Ellis County, Kansas,28452,28689
Ellsworth County, Kansas,6497,6330
Finney County, Kansas,36776,37084
Ford County, Kansas,33848,34381
Franklin County, Kansas,25992,25733
Geary County, Kansas,34362,33855
Gove County, Kansas,2695,2631
Graham County, Kansas,2597,2495
Grant County, Kansas,7829,7526
Gray County, Kansas,6006,5958
Greeley County, Kansas,1247,1249
Greenwood County, Kansas,6689,6123
Hamilton County, Kansas,2690,2640
Harper County, Kansas,6034,5590
Harvey County, Kansas,34684,34544
Haskell County, Kansas,4256,4053
Hodgeman County, Kansas,1916,1842
Jackson County, Kansas,13462,13318
Jefferson County, Kansas,19126,18998
Jewell County, Kansas,3077,2850
Johnson County, Kansas,544179,591178
Kearny County, Kansas,3977,3960
Kingman County, Kansas,7858,7360
Kiowa County, Kansas,2553,2485
Labette County, Kansas,21607,20145
Lane County, Kansas,1750,1559
Leavenworth County, Kansas,76227,81095
Lincoln County, Kansas,3241,3043
Linn County, Kansas,9656,9726
Logan County, Kansas,2756,2821
Lyon County, Kansas,33690,33392
McPherson County, Kansas,29180,28708
Marion County, Kansas,12660,11986
Marshall County, Kansas,10117,9745
Meade County, Kansas,4575,4303
Miami County, Kansas,32787,33461
Mitchell County, Kansas,6373,6128
Montgomery County, Kansas,35471,32556
Morris County, Kansas,5923,5455
Morton County, Kansas,3233,2740
Nemaha County, Kansas,10178,10118
Neosho County, Kansas,16512,16015
Ness County, Kansas,3107,2869
Norton County, Kansas,5671,5441
Osage County, Kansas,16295,15772
Osborne County, Kansas,3858,3610
Ottawa County, Kansas,6091,5863
Pawnee County, Kansas,6973,6680
Phillips County, Kansas,5642,5370
Pottawatomie County, Kansas,21604,23908
Pratt County, Kansas,9656,9547
Rawlins County, Kansas,2519,2497
Reno County, Kansas,64511,62510
Republic County, Kansas,4980,4691
Rice County, Kansas,10083,9660
Riley County, Kansas,71115,74172
Rooks County, Kansas,5181,5043
Rush County, Kansas,3307,3103
Russell County, Kansas,6970,6915
Saline County, Kansas,55606,54734
Scott County, Kansas,4936,4961
Sedgwick County, Kansas,498365,513687
Seward County, Kansas,22952,22159
Shawnee County, Kansas,177934,178187
Sheridan County, Kansas,2556,2527
Sherman County, Kansas,6010,5930
Smith County, Kansas,3853,3668
Stafford County, Kansas,4437,4207
Stanton County, Kansas,2235,2060
Stevens County, Kansas,5724,5612
Sumner County, Kansas,24132,23159
Thomas County, Kansas,7900,7788
Trego County, Kansas,3001,2884
Wabaunsee County, Kansas,7053,6874
Wallace County, Kansas,1485,1524
Washington County, Kansas,5799,5485
Wichita County, Kansas,2234,2125
Wilson County, Kansas,9409,8675
Woodson County, Kansas,3309,3147
Wyandotte County, Kansas,157505,165288
Adair County, Kentucky,18656,19485
Allen County, Kentucky,19956,20933
Anderson County, Kentucky,21421,22544
Ballard County, Kentucky,8249,8039
Barren County, Kentucky,42173,43801
Bath County, Kentucky,11591,12378
Bell County, Kentucky,28691,26894
Boone County, Kentucky,118811,130728
Bourbon County, Kentucky,19985,20029
Boyd County, Kentucky,49542,47979
Boyle County, Kentucky,28432,29924
Bracken County, Kentucky,8488,8267
Breathitt County, Kentucky,13878,12946
Breckinridge County, Kentucky,20059,20111
Bullitt County, Kentucky,74319,80246
Butler County, Kentucky,12690,12831
Caldwell County, Kentucky,12984,12639
Calloway County, Kentucky,37191,38919
Campbell County, Kentucky,90336,92488
Carlisle County, Kentucky,5104,4846
Carroll County, Kentucky,10811,10713
Carter County, Kentucky,27720,27144
Casey County, Kentucky,15955,15750
Christian County, Kentucky,73955,70416
Clark County, Kentucky,35613,36046
Clay County, Kentucky,21730,20366
Clinton County, Kentucky,10272,10276
Crittenden County, Kentucky,9315,9084
Cumberland County, Kentucky,6856,6706
Daviess County, Kentucky,96656,100374
Edmonson County, Kentucky,12161,12226
Elliott County, Kentucky,7852,7523
Estill County, Kentucky,14672,14277
Fayette County, Kentucky,295803,321959
Fleming County, Kentucky,14348,14446
Floyd County, Kentucky,39451,36271
Franklin County, Kentucky,49285,50485
Fulton County, Kentucky,6813,6192
Gallatin County, Kentucky,8589,8776
Garrard County, Kentucky,16912,17523
Grant County, Kentucky,24662,24984
Graves County, Kentucky,37121,37121
Grayson County, Kentucky,25746,26358
Green County, Kentucky,11258,11065
Greenup County, Kentucky,36910,35518
Hancock County, Kentucky,8565,8801
Hardin County, Kentucky,105543,108071
Harlan County, Kentucky,29278,26713
Harrison County, Kentucky,18846,18781
Hart County, Kentucky,18199,18757
Henderson County, Kentucky,46250,45928
Henry County, Kentucky,15416,16006
Hickman County, Kentucky,4902,4520
Hopkins County, Kentucky,46920,45547
Jackson County, Kentucky,13494,13431
Jefferson County, Kentucky,741096,771158
Jessamine County, Kentucky,48586,53375
Johnson County, Kentucky,23356,22594
Kenton County, Kentucky,159720,165399
Knott County, Kentucky,16346,15291
Knox County, Kentucky,31883,31227
Larue County, Kentucky,14193,14205
Laurel County, Kentucky,58849,60174
Lawrence County, Kentucky,15860,15719
Lee County, Kentucky,7887,6570
Leslie County, Kentucky,11310,10334
Letcher County, Kentucky,24519,22339
Lewis County, Kentucky,13870,13339
Lincoln County, Kentucky,24742,24456
Livingston County, Kentucky,9519,9269
Logan County, Kentucky,26835,27060
Lyon County, Kentucky,8314,8082
McCracken County, Kentucky,65565,65385
McCreary County, Kentucky,18306,17465
McLean County, Kentucky,9531,9201
Madison County, Kentucky,82916,91226
Magoffin County, Kentucky,13333,12538
Marion County, Kentucky,19820,19395
Marshall County, Kentucky,31448,31382
Martin County, Kentucky,12929,11452
Mason County, Kentucky,17490,17174
Meade County, Kentucky,28602,28154
Menifee County, Kentucky,6306,6455
Mercer County, Kentucky,21331,21521
Metcalfe County, Kentucky,10099,10107
Monroe County, Kentucky,10963,10659
Montgomery County, kentucky,26499,27928
Morgan County, Kentucky,13923,13188
Muhlenberg County, Kentucky,31499,30816
Nelson County, Kentucky,43437,45640
Nicholas County, Kentucky,7135,7130
Ohio County, Kentucky,23842,24182
Oldham County, Kentucky,60316,66415
Owen County, Kentucky,10841,10765
Owsley County, Kentucky,4755,4435
Pendleton County, Kentucky,14877,14573
Perry County, Kentucky,28712,26553
Pike County, Kentucky,65024,58883
Powell County, Kentucky,12613,12374
Pulaski County, Kentucky,63063,64449
Robertson County, Kentucky,2282,2134
Rockcastle County, Kentucky,17056,16698
Rowan County, Kentucky,23333,24517
Russell County, Kentucky,17565,17775
Scott County, Kentucky,47173,54873
Shelby County, Kentucky,42074,47421
Simpson County, Kentucky,17327,18108
Spencer County, Kentucky,17061,18507
Taylor County, Kentucky,24512,25472
Todd County, Kentucky,12460,12243
Trigg County, Kentucky,14339,14444
Trimble County, Kentucky,8809,8561
Union County, Kentucky,15007,14668
Warren County, Kentucky,113792,128845
Washington County, Kentucky,11717,12126
Wayne County, Kentucky,20813,20716
Webster County, Kentucky,13621,13018
Whitley County, Kentucky,35637,36214
Wolfe County, Kentucky,7355,7264
Woodford County, Kentucky,24939,26368
Acadia Parish, Louisiana,61773,62590
Allen Parish, Louisiana,25764,25621
Ascension Parish, Louisiana,107215,122948
Assumption Parish, Louisiana,23421,22526
Avoyelles Parish, Louisiana,42073,40980
Beauregard Parish, Louisiana,35654,36928
Bienville Parish, Louisiana,14353,13638
Bossier Parish, Louisiana,116979,127634
Caddo Parish, Louisiana,254969,246581
Calcasieu Parish, Louisiana,192768,202445
Caldwell Parish, Louisiana,10132,9950
Cameron Parish, Louisiana,6839,6912
Catahoula Parish, Louisiana,10407,9875
Claiborne Parish, Louisiana,17195,15969
Concordia Parish, Louisiana,20822,19866
De Soto Parish, Louisiana,26656,27340
East Baton Rouge Parish, Louisiana,440171,446268
East Carroll Parish, Louisiana,7759,7126
East Feliciana Parish, Louisiana,20267,19412
Evangeline Parish, Louisiana,33984,33708
Franklin Parish, Louisiana,20767,20260
Grant Parish, Louisiana,22309,22336
Iberia Parish, Louisiana,73240,72176
Iberville Parish, Louisiana,33387,33027
Jackson Parish, Louisiana,16274,15846
Jefferson Parish, Louisiana,432552,439036
Jefferson Davis Parish, Louisiana,31594,31477
Lafayette Parish, Louisiana,221578,242485
Lafourche Parish, Louisiana,96318,98426
LaSalle Parish, Louisiana,14890,14933
Lincoln Parish, Louisiana,46735,47744
Livingston Parish, Louisiana,128026,138228
Madison Parish, Louisiana,12093,11316
Morehouse Parish, Louisiana,27979,25641
Natchitoches Parish, Louisiana,39566,39021
Orleans Parish, Louisiana,343829,393292
Ouachita Parish, Louisiana,153720,155874
Plaquemines Parish, Louisiana,23042,23348
Pointe Coupee Parish, Louisiana,22802,22268
Rapides Parish, Louisiana,131613,131648
Red River Parish, Louisiana,9091,8536
Richland Parish, Louisiana,20725,20411
Sabine Parish, Louisiana,24233,24018
St. Bernard Parish, Louisiana,35897,46202
St. Charles Parish, Louisiana,52780,52749
St. Helena Parish, Louisiana,11203,10363
St. James Parish, Louisiana,22102,21367
St. John the Baptist Parish, Louisiana,45924,43441
St. Landry Parish, Louisiana,83384,83497
St. Martin Parish, Louisiana,52160,54171
St. Mary Parish, Louisiana,54650,50973
St. Tammany Parish, Louisiana,233740,256327
Tangipahoa Parish, Louisiana,121097,132497
Tensas Parish, Louisiana,5252,4615
Terrebonne Parish, Louisiana,111860,112086
Union Parish, Louisiana,22721,22571
Vermilion Parish, Louisiana,57999,60136
Vernon Parish, Louisiana,52334,50726
Washington Parish, Louisiana,47168,46633
Webster Parish, Louisiana,41207,39378
West Baton Rouge Parish, Louisiana,23788,26265
West Carroll Parish, Louisiana,11604,10981
West Feliciana Parish, Louisiana,15625,15380
Winn Parish, Louisiana,15313,14311
Androscoggin County, Maine,107702,107651
Aroostook County, Maine,71870,67653
Cumberland County, Maine,281674,292500
Franklin County, Maine,30768,29988
Hancock County, Maine,54418,54497
Kennebec County, Maine,122151,121821
Knox County, Maine,39736,39790
Lincoln County, Maine,34457,34204
Oxford County, Maine,57833,57439
Penobscot County, Maine,153923,151957
Piscataquis County, Maine,17535,16773
Sagadahoc County, Maine,35293,35392
Somerset County, Maine,52228,50626
Waldo County, Maine,38786,39832
Washington County, Maine,32856,31593
York County, Maine,197131,204191
Allegany County, Maryland,75087,71615
Anne Arundel County, Maryland,537656,573235
Baltimore County, Maryland,805029,832468
Calvert County, Maryland,88737,91502
Caroline County, Maryland,33066,33193
Carroll County, Maryland,167134,167781
Cecil County, Maryland,101108,102746
Charles County, Maryland,146551,159700
Dorchester County, Maryland,32618,32162
Frederick County, Maryland,233385,252022
Garrett County, Maryland,30097,29233
Harford County, Maryland,244826,252160
Howard County, Maryland,287085,321113
Kent County, Maryland,20197,19384
Montgomery County, Maryland,971777,1058810
Prince George's County, Maryland,863420,912756
Queen Anne's County, Maryland,47798,49770
St. Mary's County, Maryland,105151,112667
Somerset County, Maryland,26470,25918
Talbot County, Maryland,37782,37103
Washington County, Maryland,147430,150578
Wicomico County, Maryland,98733,102923
Worcester County, Maryland,51454,51690
Baltimore city, Maryland,620961,611648
Barnstable County, Massachusetts,215888,213444
Berkshire County, Massachusetts,131219,126313
Bristol County, Massachusetts,548285,561483
Dukes County, Massachusetts,16535,17325
Essex County, Massachusetts,743159,785205
Franklin County, Massachussetts,71372,70702
Hampden County, Massachusetts,463490,469818
Hampshire County, Massachusetts,158080,161834
Middlesex County, Massachusets,1503085,1602947
Nantucket County, Massachusetts,10172,11229
Norfolk County, Massachusetts,670850,700322
Plymouth County, Massachusetts,494919,515142
Suffolk County, Massachusetts,722023,797939
Worcester County, Massachusetts,798552,826116
Alcona County, Michigan,10942,10351
Alger County, Michigan,9601,9121
Allegan County, Michigan,111408,116447
Alpena County, Michigan,29598,28462
Antrim County, Michigan,23580,23292
Arenac County, Michigan,15899,15045
Baraga County, Michigan,8860,8441
Barry County, Michigan,59173,60586
Bay County, Michigan,107771,104239
Benzie County, Michigan,17525,17573
Berrien County, Michigan,156813,154259
Branch County, Michigan,45248,43410
Calhoun County, Michigan,136146,134128
Cass County, Michigan,52293,51381
Charlevoix County, Michigan,25949,26139
Cheboygan County, Michigan,26152,25369
Chippewa County, Michigan,38520,37711
Clare County, Michigan,30926,30653
Clinton County, Michigan,75382,78443
Crawford County, Michigan,14074,13907
Delta County, Michigan,37069,35965
Dickinson County, Michigan,26168,25415
Eaton County, Michigan,107759,109027
Emmet County, Michigan,32694,33193
Genesee County, Michigan,425790,407385
Gladwin County, Michigan,25692,25234
Gogebic County, Michigan,16427,15342
Grand Traverse County, Michigan,86986,91807
Gratiot County, Michigan,42476,41018
Hillsdale County, Michigan,46688,45879
Houghton County, Michigan,36628,36305
Huron County, Michigan,33118,31280
Ingham County, Michigan,280895,290186
Ionia County, Michigan,63905,64291
Iosco County, Michigan,25887,25162
Iron County, Michigan,11817,11124
Isabella County, Michigan,70311,71063
Jackson County, Michigan,160248,158640
Kalamazoo County, Michigan,250331,262985
Kalkaska County, Michigan,17153,17634
Kent County, Michigan,602622,648594
Keweenaw County, Michigan,2156,2105
Lake County, Michigan,11539,12013
Lapeer County, Michigan,88319,88174
Leelanau County, Michigan,21708,21657
Lenawee County, Michigan,99892,98623
Livingston County, Michigan,180967,189651
Luce County, Michigan,6631,6358
Mackinac County, Michigan,11113,10712
Macomb County, Michigan,840978,871375
Manistee County, Michigan,24733,24427
Marquette County, Michigan,67077,66502
Mason County, Michigan,28705,29073
Mecosta County, Michigan,42798,43391
Menominee County, Michigan,24029,23046
Midland County, Michigan,83629,83411
Missaukee County, Michigan,14849,14998
Monroe County, Michigan,152021,149649
Montcalm County, Michigan,63342,63550
Montmorency County, Michigan,9765,9250
Muskegon County, Michigan,172188,173693
Newaygo County, Michigan,48460,48242
Oakland County, Michigan,1202362,1250836
Oceana County, Michigan,26570,26442
Ogemaw County, Michigan,21699,20981
Ontonagon County, Michigan,6780,5881
Osceola County, Michigan,23528,23260
Oscoda County, Michigan,8640,8287
Otsego County, Michigan,24164,24538
Ottawa County, Michigan,263801,286383
Presque Isle County, Michigan,13376,12791
Roscommon County, Michigan,24449,23895
Saginaw County, Michigan,200169,191934
St. Clair County, Michigan,163040,159350
St. Joseph County, Michigan,61295,60947
Sanilac County, Michigan,43114,41269
Schoolcraft County, Michigan,8485,8049
Shiawassee County, Michigan,70648,68446
Tuscola County, Michigan,55729,52764
Van Buren County, Michigan,76258,75353
Washtenaw County, Michigan,344791,367627
Wayne County, Michigan,1820584,1753616
Wexford County, Michigan,32735,33276
Aitkin County, Minnesota,16202,15829
Anoka County, Minnesota,330844,351373
Becker County, Minnesota,32504,34098
Beltrami County, Minnesota,44442,46513
Benton County, Minnesota,38451,39937
Big Stone County, Minnesota,5269,5026
Blue Earth County, Minnesota,64013,66973
Brown County, Minnesota,25893,25194
Carlton County, Minnesota,35386,35498
Carver County, Minnesota,91042,102119
Cass County, Minnesota,28567,29355
Chippewa County, Minnesota,12441,11980
Chisago County, Minnesota,53887,55308
Clay County, Minnesota,58999,63569
Clearwater County, Minnesota,8695,8878
Cook County, Minnesota,5176,5398
Cottonwood County, Minnesota,11687,11295
Crow Wing County, Minnesota,62500,64424
Dakota County, Minnesota,398552,421751
Dodge County, Minnesota,20087,20762
Douglas County, Minnesota,36009,37575
Faribault County, Minnesota,14553,13784
Fillmore County, Minnesota,20866,20980
Freeborn County, Minnesota,31255,30535
Goodhue County, Minnesota,46183,46304
Grant County, Minnesota,6018,5941
Hennepin County, Minnesota,1152425,1252024
Houston County, Minnesota,19027,18660
Hubbard County, Minnesota,20428,21018
Isanti County, Minnesota,37816,39582
Itasca County, Minnesota,45058,45137
Jackson County, Minnesota,10266,9946
Kanabec County, Minnesota,16239,16024
Kandiyohi County, Minnesota,42239,42743
Kittson County, Minnesota,4552,4250
Koochiching County, Minnesota,13311,12528
Lac qui Parle County, Minnesota,7259,6685
Lake County, Minnesota,10866,10524
Lake of the Woods County, Minnesota,4045,3744
Le Sueur County, Minnesota,27703,28111
Lincoln County, Minnesota,5896,5678
Lyon County, Minnesota,25857,25831
McLeod County, Minnesota,36651,35884
Mahnomen County, Minnesota,5413,5596
Marshall County, Minnesota,9439,9356
Martin County, Minnesota,20840,19850
Meeker County, Minnesota,23300,23131
Mille Lacs County, Minnesota,26097,25872
Morrison County, Minnesota,33198,33064
Mower County, Minnesota,39163,39566
Murray County, Minnesota,8725,8346
Nicollet County, Minnesota,32727,33966
Nobles County, Minnesota,21378,21944
Norman County, Minnesota,6852,6597
Olmsted County, Minnesota,144248,154930
Otter Tail County, Minnesota,57303,58345
Pennington County, Minnesota,13930,14238
Pine County, Minnesota,29750,29203
Pipestone County, Minnesota,9596,9087
Polk County, Minnesota,31600,31619
Pope County, Minnesota,10995,10970
Ramsey County, Minnesota,508640,547974
Red Lake County, Minnesota,4089,4030
Redwood County, Minnesota,16059,15272
Renville County, Minnesota,15730,14645
Rice County, Minnesota,64142,65968
Rock County, Minnesota,9687,9490
Roseau County, Minnesota,15629,15327
St. Louis County, Minnesota,200226,200000
Scott County, Minnesota,129928,145827
Sherburne County, Minnesota,88499,94570
Sibley County, Minnesota,15226,14869
Stearns County, Minnesota,150642,157822
Steele County, Minnesota,36576,36887
Stevens County, Minnesota,9726,9634
Swift County, Minnesota,9783,9407
Todd County, Minnesota,24895,24515
Traverse County, Minnesota,3558,3319
Wabasha County, Minnesota,21676,21608
Wadena County, Minnesota,13843,13669
Waseca County, Minnesota,19136,18787
Washington County, Minnesota,238136,256348
Watonwan County, Minnesota,11211,10840
Wilkin County, Minnesota,6576,6324
Winona County, Minnesota,51461,50873
Wright County, Minnesota,124700,134286
Yellow Medicine County, Minnesota,10438,9867
Adams County, Mississippi,32297,31003
Alcorn County, Mississippi,37057,37210
Amite County, Mississippi,13131,12447
Attala County, Mississippi,19564,18477
Benton County, Mississippi,8729,8312
Bolivar County, Mississippi,34145,31945
Calhoun County, Mississippi,14962,14492
Carroll County, Mississippi,10597,10139
Chickasaw County, Mississippi,17392,17146
Choctaw County, Mississippi,8547,8278
Claiborne County, Mississippi,9604,8950
Clarke County, Mississippi,16732,15828
Clay County, Mississippi,20634,19640
Coahoma County, Mississippi,26151,23154
Copiah County, Mississippi,29449,28516
Covington County, Mississippi,19568,19079
DeSoto County, Mississippi,161252,178751
Forrest County, Mississippi,74934,75471
Franklin County, Mississippi,8118,7765
George County, Mississippi,22578,24094
Greene County, Mississippi,14400,13345
Grenada County, Mississippi,21906,21087
Hancock County, Mississippi,43929,47053
Harrison County, Mississippi,187105,205027
Hinds County, Mississippi,245285,239497
Holmes County, Mississippi,19198,17739
Humphreys County, Mississippi,9375,8342
Issaquena County, Mississippi,1406,1339
Itawamba County, Mississippi,23401,23508
Jackson County, Mississippi,139668,142152
Jasper County, Mississippi,17062,16582
Jefferson County, Mississippi,7726,7262
Jefferson Davis County, Mississippi,12487,11314
Jones County, Mississippi,67761,67930
Kemper County, Mississippi,10456,9883
Lafayette County, Mississippi,47351,54374
Lamar County, Mississippi,55658,61374
Lauderdale County, Mississippi,80261,76155
Lawrence County, Mississippi,12929,12643
Leake County, Mississippi,23805,22715
Lee County, Mississippi,82910,84933
Leflore County, Mississippi,32317,29223
Lincoln County, Mississippi,34869,34347
Lowndes County, Mississippi,59779,59186
Madison County, Mississippi,95203,104618
Marion County, Mississippi,27088,25069
Marshall County, Mississippi,37144,35619
Monroe County, Mississippi,36989,35872
Montgomery County, Mississippi,10925,10173
Neshoba County, Mississippi,29676,29369
Newton County, Mississippi,21720,21185
Noxubee County, Mississippi,11545,10742
Oktibbeha County, Mississippi,47671,49799
Panola County, Mississippi,34707,33994
Pearl River County, Mississippi,55834,55270
Perry County, Mississippi,12250,12032
Pike County, Mississippi,40404,39468
Pontotoc County, Mississippi,29957,31640
Prentiss County, Mississippi,25276,25261
Quitman County, Mississippi,8223,7269
Rankin County, Mississippi,141617,152080
Scott County, Mississippi,28264,28420
Sharkey County, mississippi,4916,4435
Simpson County, Mississippi,27503,26947
Smith County, Mississippi,16491,16078
Stone County, Mississippi,17786,18112
Sunflower County, Mississippi,29450,25981
Tallahatchie County, Mississippi,15378,14125
Tate County, Mississippi,28886,28441
Tippah County, Mississippi,22232,21969
Tishomingo County, Mississippi,19593,19542
Tunica County, Mississippi,10778,10024
Union County, Mississippi,27134,28556
Walthall County, Mississippi,15443,14499
Warren County, Mississippi,48773,46768
Washington County, Mississippi,51137,46221
Wayne County, Mississippi,20747,20446
Webster County, Mississippi,10253,9765
Wilkinson County, Mississippi,9878,8804
Winston County, Mississippi,19198,18246
Yalobusha County, Mississippi,12678,12497
Yazoo County, Mississippi,28065,27057
Adair County, Missouri,25607,25377
Andrew County, Missouri,17291,17555
Atchison County, Missouri,5685,5275
Audrain County, Missouri,25529,25641
Barry County, Missouri,35597,35668
Barton County, Missouri,12402,11850
Bates County, Missouri,17049,16334
Benton County, Missouri,19056,19074
Bollinger County, Missouri,12363,12306
Boone County, Missouri,162642,178271
Buchanan County, Missouri,89201,89065
Butler County, Missouri,42794,42666
Caldwell County, Missouri,9424,9100
Callaway County, Missouri,44332,45032
Camden County, Missouri,44002,45632
Cape Girardeau County, Missouri,75674,78161
Carroll County, Missouri,9295,8796
Carter County, Missouri,6265,6169
Cass County, Missouri,99478,103724
Cedar County, Missouri,13982,14073
Chariton County, Missouri,7831,7480
Christian County, Missouri,77422,85432
Clark County, Missouri,7139,6723
Clay County, Missouri,221939,242874
Clinton County, Missouri,20743,20554
Cole County, Missouri,75990,76708
Cooper County, Missouri,17601,17644
Crawford County, Missouri,24696,24102
Dade County, Missouri,7883,7588
Dallas County, Missouri,16777,16673
Daviess County, Missouri,8433,8361
DeKalb County, Missouri,12892,12588
Dent County, Missouri,15657,15480
Douglas County, Missouri,13684,13300
Dunklin County, Missouri,31953,30119
Franklin County, Missouri,101492,103330
Gasconade County, Missouri,15222,14726
Gentry County, Missouri,6738,6665
Greene County, Missouri,275174,289805
Grundy County, Missouri,10261,9949
Harrison County, Missouri,8957,8524
Henry County, Missouri,22272,21718
Hickory County, Missouri,9627,9475
Holt County, Missouri,4912,4413
Howard County, Missouri,10144,10139
Howell County, Missouri,40400,40103
Iron County, Missouri,10630,10226
Jackson County, Missouri,674158,698895
Jasper County, Missouri,117404,120217
Jefferson County, Missouri,218733,223810
Johnson County, Missouri,52595,53897
Knox County, Missouri,4131,3977
Laclede County, Missouri,35571,35443
Lafayette County, Missouri,33381,32641
Lawrence County, Missouri,38634,38434
Lewis County, Missouri,10211,9967
Lincoln County, Missouri,52566,56183
Linn County, Missouri,12761,12194
Livingston County, Missouri,15195,15173
McDonald County, Missouri,23083,22828
Macon County, Missouri,15566,15251
Madison County, Missouri,12226,12243
Maries County, Missouri,9176,8867
Marion County, Missouri,28781,28634
Mercer County, Missouri,3785,3678
Miller County, Missouri,24748,25228
Mississippi County, Missouri,14358,13586
Moniteau County, Missouri,15607,16063
Monroe County, Missouri,8840,8612
Montgomery County, Missouri,12236,11438
Morgan County, Missouri,20565,20145
New Madrid County, Missouri,18956,17582
Newton County, Missouri,58114,58290
Nodaway County, Missouri,23370,22472
Oregon County, Missouri,10881,10558
Osage County, Missouri,13878,13662
Ozark County, Missouri,9723,9186
Pemiscot County, Missouri,18296,16826
Perry County, Missouri,18971,19225
Pettis County, Missouri,42201,42558
Phelps County, Missouri,45156,44744
Pike County, Missouri,18516,18567
Platte County, Missouri,89322,101187
Polk County, Missouri,31137,31794
Pulaski County, Missouri,52274,52059
Putnam County, Missouri,4979,4811
Ralls County, Missouri,10167,10224
Randolph County, Missouri,25414,24945
Ray County, Missouri,23494,22855
Reynolds County, Missouri,6696,6275
Ripley County, Missouri,14100,13564
St. Charles County, Missouri,360485,395504
St. Clair County, Missouri,9805,9362
Ste. Genevieve County, Missouri,18145,17843
St. Francois County, Missouri,65359,66705
St. Louis County, Missouri,998954,996726
Saline County, Missouri,23370,22660
Schuyler County, Missouri,4431,4508
Scotland County, Missouri,4843,4963
Scott County, Missouri,39191,38541
Shannon County, Missouri,8441,8249
Shelby County, Missouri,6373,6021
Stoddard County, Missouri,29968,29369
Stone County, Missouri,32202,31699
Sullivan County, Missouri,6714,6229
Taney County, Missouri,51675,55355
Texas County, Missouri,26008,25735
Vernon County, Missouri,21159,20437
Warren County, Missouri,32513,34373
Washington County, Missouri,25195,25022
Wayne County, Missouri,13521,13296
Webster County, Missouri,36202,38665
Worth County, Missouri,2171,2057
Wright County, Missouri,18815,18331
St. Louis city, Missouri,319294,308626
Beaverhead County, Montana,9246,9434
Big Horn County, Montana,12865,13360
Blaine County, Montana,6491,6708
Broadwater County, Montana,5612,5936
