County,State,2010 Census,Population Estimate 2017
Scott County, Arkansas,11233,10445
Searcy County, Arkansas,8195,7938
Sebastian County, Arkansas,125744,128107
Sevier County, Arkansas,17058,17115
Sharp County, Arkansas,17264,17393
Stone County, Arkansas,12394,12537
Union County, Arkansas,41639,39449
Van Buren County, Arkansas,17295,16506
Washington County, Arkansas,203065,231996
White County, Arkansas,77076,79016
Woodruff County, Arkansas,7260,6571
Yell County, Arkansas,22185,21523
Alameda County, California,1510271,1663190
Alpine County, California,1175,1120
Amador County, California,38091,38626
Butte County, California,220000,229294
Calaveras County, California,45578,45670
Colusa County, California,21419,21805
Contra Costa County, California,1049025,1147439
Del Norte County,  California,28610,27470
El Dorado County, California,181058,188987
Fresno County, California,930450,989255
Glenn County, California,28122,28094
Humboldt County, California,134623,136754
Imperial County, California,174528,182830
Inyo County, California,18546,18026
Kern County, California,839631,893119
Kings County, California,152982,150101
Lake County, California,64665,64246
Lassen County, California,34895,31163
Los Angeles County, California,9818605,10163507
Madera County, California,150865,156890
Marin County, California,252409,260955
Mariposa County, California,18251,17569
Mendocino County, California,87841,88018
Merced County, California,255793,272673
Modoc County, California,9686,8859
Mono County, California,14202,14168
Monterey County, California,415057,437907
Napa County, California,136484,140973
Nevada County, California,98764,99814
Orange County, California,3010232,3190400
Placer County, California,348432,386166
Plumas County, California,20007,18742
Riverside County, California,2189641,2423266
Sacramento County, California,1418788,1530615
San Benito County, California,55269,60310
San Bernardino County, California,2035210,2157404
San Diego County, California,3095313,3337685
San Francisco County, California,805235,884363
San Joaquin County, California,685306,745424
San Luis Obispo County, California,269637,283405
San Mateo County, California,718451,771410
Santa Barbara County, California,423895,448150
Santa Clara County, California,1781642,1938153
Santa Cruz County, California,262382,275897
Shasta County, California,177223,179921
Sierra County, California,3240,2999
Siskiyou County, California,44900,43853
Solano County, California,413344,445458
Sonoma County, California,483878,504217
Stanislaus County, California,514453,547899
Sutter County, California,94737,96648
Tehama County, California,63463,63926
Trinity County, California,13786,12709
Tulare County, California,442179,464493
Tuolumne County, California,55365,54248
Ventura County, California,823318,854223
Yolo County, California,200849,219116
Yuba County, California,72155,77031
Adams County, Colorado,441603,503167
Alamosa County, Colorado,15445,16551
Arapahoe County, Colorado,572003,643052
Archuleta County, Colorado,12084,13315
Baca County, Colorado,3788,3562
Bent County, Colorado,6499,5938
Boulder County, Colorado,294567,322514
Broomfield County, Colorado,55889,68341
Chaffee County, Colorado,17809,19638
Cheyenne County, Colorado,1836,1845
Clear Creek County, Colorado,9088,9574
Conejos County, Colorado,8256,8184
Costilla County, Colorado,3524,3776
Crowley County, Colorado,5823,5810
Custer County, Colorado,4255,4874
Delta County, Colorado,30952,30568
Denver County, Colorado,600158,704621
Dolores County, Colorado,2064,2067
Douglas County, Colorado,285465,335299
Eagle County, Colorado,52197,54772
Elbert County, Colorado,23086,25642
El Paso County, Colorado,622263,699232
Fremont County, Colorado,46824,47559
Garfield County, Colorado,56389,59118
Gilpin County, Colorado,5441,6013
Grand County, Colorado,14843,15321
Gunnison County, Colorado,15324,16939
