Complaint date,Borough,Count of incidents
2018-01-01,BRONX,8019
2018-01-01,BROOKLYN,10747
2018-01-01,MANHATTAN,9200
2018-01-01,QUEENS,6998
2018-01-01,STATEN ISLAND,1612
2018-02-01,BRONX,7625
2018-02-01,BROOKLYN,9943
2018-02-01,MANHATTAN,8588
2018-02-01,QUEENS,6326
2018-02-01,STATEN ISLAND,1499
