Country,Continent,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Comoros,AF,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2
Congo (Brazzaville),AF,3,3.2,3,3.1,3.1,5.4,5.6,5.9,6.1,6.6,7.4,7.3,6.8,7.1,6.7,7.1,5.2
Congo (Kinshasa),A,2.1,1.4,1.2,1.2,1.7,1.8,1.7,2,1.9,1.8,2.5,2.8,2.7,4,5.4,3.2,3.1
Cook Islands,OC,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Costa Rica,NA,5,5.3,5.4,5.9,5.7,5.7,6.5,6.9,6.8,6.6,6.8,7.1,7.1,7.3,7.5,7.1,7.7
Cote dIvoire (IvoryCoast),AF,7.3,5.8,5.8,5.8,6.3,6.3,6.2,6.2,6.4,6.5,7,6.6,8.2,9.6,10,10.7,11.5
Croatia,EU,20.1,20.4,21.4,22.6,22.2,22,22.9,22.2,22.6,20.3,19.3,19.4,19,17.7,16.5,16.9,17.7
Cuba,NA,32.5,32.8,34,33,33,29.1,25,26.4,29.4,29.4,28.1,25.7,28.5,27.2,27.9,28.5,27
Cyprus,EU,7.4,8.1,7.9,8,8.5,8.7,9.2,9.2,9.7,9.2,8.8,8.6,8.1,7.2,7.3,7.5,7.7
Czech Republic,EU,124.2,123.9,120.5,124,125.4,123.1,123.3,125.2,120.3,114,115.5,115.5,111,104.2,102.8,104,105
Denmark,EU,54,55.1,53.5,60.5,54.6,51.6,59.4,55.2,52.2,49.3,50.2,43.4,39,41.1,37.3,34.7,36.2
Djibouti,AF,1.9,1.9,1.9,1.9,1.9,1.9,1.7,1.6,1.7,1.2,1.2,0.6,0.9,0.9,0.9,0.9,1
Dominica,NA,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2
Dominican Republic,NA,16.2,16.4,17.5,17.4,17.2,17.5,18,18.5,18.6,17.8,18.2,20.3,21.1,20.1,19.8,22,23.4
Ecuador,SA,20.1,21.2,22.1,22.2,23.3,24.4,26.4,26.4,27.1,29.7,34.6,36.2,37.6,40.8,42.1,41.1,37.5
Egypt,AF,119.5,128.4,132.4,142.5,152.1,159.5,170.4,176.3,181.5,185.9,186.7,214.3,218,222.9,226.1,227.9,232.6
El Salvador,NA,5.5,5.7,5.8,6.1,6,6.2,6.2,6.3,5.9,5.9,5.9,6.5,6.6,6.3,6.4,7,7.3
Equatorial Guinea,AF,2,2.1,4,4.9,3.9,4.9,4.9,4.6,4.7,5.5,5.4,5.3,5.3,5.1,4.7,4.5,3.1
Eritrea,AF,0.6,0.8,0.7,0.8,0.8,0.7,0.7,0.7,0.7,0.5,0.7,0.5,0.6,0.6,0.6,0.6,0.6
Estonia,EU,5.7,6,5,5.2,6.1,6.1,6.5,6.3,6.3,5.2,5.4,5.2,6,6,5.5,5.2,5.3
Ethiopia,AF,3.5,3.6,3.9,4.2,4.3,4.6,5.2,5.7,6.4,7.1,6.6,7.3,7.7,9.4,10.8,11.2,12
Falkland Islands (Islas Malvinas),SA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Faroe Islands,EU,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.7,0.7,0.7
Fiji,OC,1.4,1.5,1.7,2.2,2.6,2.5,2.3,2.5,2.3,1.4,1.3,2.7,1.1,1.5,1.9,2.4,2.4
Finland,EU,50.9,53.4,55.9,64.2,60.8,51.7,60.3,58.9,53.8,51.3,56.9,50.3,45.6,47.8,44.1,42.8,45
Former Serbia and Montenegro,EU,10.7,12.7,15.8,17.4,18.5,,,,,,,,,,,,
France,EU,409.6,414.7,407.1,412.2,414.9,423.3,419.2,431.6,428.8,389.1,389.3,373,363.8,366.9,335.2,337.7,337.2
French Guiana,SA,1,1,1,1.1,1,1.1,1.1,1.1,1.1,0.8,1,0.9,0.7,0.7,0.8,0.8,0.8
French Polynesia,OC,0.7,0.7,0.7,0.9,0.9,0.9,1,1,1,1.1,1.1,1,1,1,1,1.1,1
Gabon,AF,5.1,5,4.7,4.9,4.9,4.9,4.5,4.6,4.8,4.4,4.9,6,6.6,6.6,6.5,7.1,4.3
"Gambia, The",AF,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.6
Georgia,AS,4.6,4,4.5,3.7,4.3,5,5.1,6.1,6,6.7,6.5,6.8,7.5,8.6,8.9,9.7,10.3
Germany,EU,856.9,880.6,870.9,869.7,863.1,849.1,855.6,822.7,825.2,783,811.4,808.1,816.8,830.3,797.9,799.2,803
Ghana,AF,5.3,5.2,5.5,5.9,6.5,6.5,6.7,6.8,7.4,7.5,9.5,11.3,11.4,12.4,12.4,15,13.7
Gibraltar,EU,7.3,4,4,4.1,4.3,4.4,4.5,4.6,4.6,4.9,8.9,13.9,14.1,13,12.4,12.7,13.3
