Country,Continent,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Tanzania,AF,2.7,3.1,3.5,3.7,4.2,5.1,5.4,5.8,6.2,6.8,6.7,7.8,9.7,10.5,10.4,12.9,14.5
Thailand,AS,165.9,175.5,191.2,208.3,227.7,244,236,243.6,249.5,261.6,280.5,278.2,292.5,327.3,334,338.4,344.4
Togo,AF,1.4,1,1.3,2.2,2.3,2.3,2.3,2.8,2.9,1.6,2.7,2.4,2.3,2.2,2.4,2.5,2.6
Tonga,OC,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1
Trinidad and Tobago,NA,27.5,30,30.9,33.8,32.2,36.5,47.2,46.7,49.5,47.8,52.9,54.5,52.1,57.7,55.6,54.3,48.9
Tunisia,AF,19.7,21.1,21,20.9,20.8,22,21,18.5,21.3,18.9,18.3,18.1,18.9,20.6,22.4,23.3,23.4
Turkey,AS,224.4,210.2,211,214.7,217.4,243.1,263.3,294.4,293,291.6,281.3,310.2,312.6,303.3,325.4,344.4,357.9
Turkmenistan,AS,23.9,29.8,34.6,43.8,47.5,48.9,38.6,37.9,34.1,48.8,61.7,69.2,79.5,81.5,83.9,102.1,100.5
U.S. Pacific Islands,NA,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3
Uganda,AF,1.3,1.4,1.5,1.6,1.6,1.7,1.9,2,2,3.3,3.4,3.9,3.6,3.8,4.6,4.6,4.7
Ukraine,EU,348.5,341,346.8,380.8,339,341.6,361.9,373.9,366.1,266,296,331.4,305.5,290.4,253.3,216,222.9
United Arab Emirates,AS,116,115,123.7,127.5,134,140,156.3,172.6,196.6,207.7,217.7,249,245.9,254.5,259.5,285.6,288.6
United Kingdom,EU,573.9,579.6,568.9,581.2,590.2,590.9,594.5,578.1,570.9,521.7,547.1,500.7,514.5,505.3,465.2,447.6,420.9
United States,NA,5893.1,5778,5826.4,5876.2,6006.5,6018.9,5944,6041.6,5862.7,5444.5,5597.6,5533.1,5324.1,5434.3,5477.1,5334.1,5240
Uruguay,SA,6.5,5,5.3,5.5,6,6.3,7.3,7,8,9.1,8.2,9.2,9.8,8.5,7.5,7.6,7.6
Uzbekistan,AS,107.7,112.5,115.9,116.2,122.5,117.5,121.4,123.5,127.4,107.6,104.5,114.7,114.6,105.1,114.7,107.4,94.5
Vanuatu,OC,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2
Venezuela,SA,134.8,149.1,146.7,134.2,142.5,146.3,150.7,153.1,157.3,152.6,166.5,166.3,188.6,179.7,184.7,179.2,129.9
Vietnam,AS,49.9,53.2,61.5,65.8,77.7,84.3,91.7,98.9,112.5,116.1,145.6,140.1,143.4,153.8,167.9,194.7,213.6
"Virgin Islands,  U.S.",EU,9.8,14,13,15,18,16,17,15,13,15,14,4.5,2.7,1.4,2.9,2.9,2.8
"Virgin Islands, British",NA,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Wake Island,NA,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.4,1.3,1.3,1.3,1.3,1.3,1.4,1.4,1.4,1.4
Western Sahara,AF,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Yemen,AS,13,14,15,17,17,17,19,19,23.1,22.4,25.3,20.8,17.6,23.5,23,17.8,13.6
Zambia,AF,1.9,2.1,2.1,2.2,2.2,2.4,2.3,2.4,2.5,2.4,2.3,2.4,2.9,3.2,3.6,3.7,3.7
Zimbabwe,AF,13.3,12.6,12,10.7,9.4,10.2,9.6,9.5,7.3,7.4,8.6,10,11,11.6,11.3,11.6,10.8
