addr_pct_cd,boro_nm,cmplnt_fr_dt,cmplnt_fr_tm,cmplnt_num,cmplnt_to_dt,cmplnt_to_tm,crm_atpt_cptd_cd,juris_desc,latitude,law_cat_cd,loc_of_occur_desc,longitude,ofns_desc,patrol_boro,pd_cd,pd_desc,prem_typ_desc,rpt_dt,vic_age_group,vic_race,vic_sex,x_coord_cd,y_coord_cd,susp_age_group,susp_race,susp_sex
41,BRONX,2018-02-28,18:30:00,941058716,2018-02-28T00:00:00.000,18:43:00,COMPLETED,N.Y. POLICE DEPT,40.821244817,FELONY,FRONT OF,-73.889731945,FELONY ASSAULT,PATROL BORO BRONX,109.0,"ASSAULT 2,1,UNCLASSIFIED",STREET,2018-02-28T00:00:00.000,<18,WHITE HISPANIC,M,1014770.0,238495.0,UNKNOWN,UNKNOWN,M
19,MANHATTAN,2018-02-28,12:30:00,738416615,2018-03-04T00:00:00.000,10:45:00,COMPLETED,N.Y. POLICE DEPT,40.775434106999995,MISDEMEANOR,INSIDE,-73.951984903,PETIT LARCENY,PATROL BORO MAN NORTH,343.0,"LARCENY,PETIT OF BICYCLE",RESIDENCE - APT. HOUSE,2018-03-04T00:00:00.000,65+,WHITE,M,997549.0,221789.0,,,
32,MANHATTAN,2018-02-28,07:00:00,938395143,2018-05-08T00:00:00.000,07:00:00,COMPLETED,N.Y. HOUSING POLICE,40.8313939,MISDEMEANOR,INSIDE,-73.935715955,OFFENSES AGAINST PUBLIC ADMINI,PATROL BORO MAN NORTH,749.0,VIOLATION OF ORDER OF PROTECTI,RESIDENCE - PUBLIC HOUSING,2018-05-11T00:00:00.000,45-64,BLACK,F,1002040.0,242180.0,45-64,BLACK,M
23,MANHATTAN,2018-02-28,14:00:00,568917674,2018-03-05T00:00:00.000,17:30:00,COMPLETED,N.Y. POLICE DEPT,40.791240623,FELONY,INSIDE,-73.944924059,GRAND LARCENY,PATROL BORO MAN NORTH,407.0,"LARCENY,GRAND BY DISHONEST EMP",GYM/FITNESS FACILITY,2018-03-06T00:00:00.000,UNKNOWN,UNKNOWN,D,999501.0,227549.0,25-44,UNKNOWN,M
43,BRONX,2018-02-28,16:57:00,150059116,2018-02-28T00:00:00.000,16:58:00,COMPLETED,N.Y. POLICE DEPT,40.812237925,MISDEMEANOR,FRONT OF,-73.847505452,DANGEROUS DRUGS,PATROL BORO BRONX,567.0,"MARIJUANA, POSSESSION 4 & 5",STREET,2018-02-28T00:00:00.000,UNKNOWN,UNKNOWN,E,1026463.0,235231.0,25-44,BLACK,M
122,STATEN ISLAND,2018-02-28,17:50:00,993067289,2018-02-28T00:00:00.000,17:57:00,ATTEMPTED,N.Y. POLICE DEPT,40.565183394,MISDEMEANOR,INSIDE,-74.115009492,PETIT LARCENY,PATROL BORO STATEN ISLAND,333.0,"LARCENY,PETIT FROM STORE-SHOPL",FOOD SUPERMARKET,2018-02-28T00:00:00.000,UNKNOWN,UNKNOWN,D,952296.0,145206.0,UNKNOWN,BLACK,M
45,BRONX,2018-02-28,02:30:00,584082559,2018-02-28T00:00:00.000,04:33:00,COMPLETED,N.Y. POLICE DEPT,40.845509528,MISDEMEANOR,INSIDE,-73.828074348,ASSAULT 3 & RELATED OFFENSES,PATROL BORO BRONX,101.0,ASSAULT 3,RESIDENCE - APT. HOUSE,2018-02-28T00:00:00.000,25-44,BLACK HISPANIC,M,1031818.0,247363.0,25-44,BLACK HISPANIC,F
111,QUEENS,2018-02-28,12:00:00,115300612,2018-03-01T00:00:00.000,12:00:00,COMPLETED,N.Y. POLICE DEPT,40.774305169,MISDEMEANOR,INSIDE,-73.789644037,PETIT LARCENY,PATROL BORO QUEENS NORTH,338.0,"LARCENY,PETIT FROM BUILDING,UN",RESIDENCE-HOUSE,2018-03-03T00:00:00.000,65+,WHITE,M,1042513.0,221444.0,,,
50,BRONX,2018-02-28,16:00:00,856088207,2018-02-28T00:00:00.000,17:05:00,COMPLETED,N.Y. POLICE DEPT,40.885581434,FELONY,REAR OF,-73.909508875,ROBBERY,PATROL BORO BRONX,384.0,"ROBBERY,POCKETBOOK/CARRIED BAG",GROCERY/BODEGA,2018-02-28T00:00:00.000,65+,WHITE,F,1009272.0,261929.0,18-24,UNKNOWN,M
30,MANHATTAN,2018-02-28,17:30:00,986448892,2018-04-29T00:00:00.000,18:30:00,COMPLETED,N.Y. POLICE DEPT,40.82610717,MISDEMEANOR,INSIDE,-73.951756836,PETIT LARCENY,PATROL BORO MAN NORTH,347.0,PETIT LARCENY-CHECK FROM MAILB,MAILBOX OUTSIDE,2018-05-03T00:00:00.000,45-64,WHITE HISPANIC,M,997602.0,240251.0,UNKNOWN,UNKNOWN,U
